1,1.8,174,94,56B,8
2,1.8,138,119,56B,10
3,1.5,114,120,56B,12.5
4,1.1,93,107,56B,16
5,0.9,69,119,56B,20
6,0.75,57,120,56B,25
7,0.55,47,107,56B,31.5
8,0.55,36,140,56B,40
9,0.37,29,115,56B,50
10,0.37,35,95,56C,40
11,0.37,28,119,56C,50
12,0.25,23,98,56C,63
13,0.25,19,119,56C,80
14,0.18,14,116,56C,100
15,0.18,11,141,56C,125
16,0.13,9,124,56C,160
17,0.09,7,112,56C,200
18,0.09,6,137,56C,250
19,1.8,176,93,63B,8
20,1.8,138,119,63B,10
21,1.8,112,146,63B,12.5
22,1.8,88,185,63B,16
23,1.5,69,198,63B,20
24,1.1,56,178,63B,25
25,0.9,45,181,63B,31.5
26,0.75,35,194,63B,40
27,0.55,28,177,63B,50
28,0.37,23,146,63B,63
29,0.75,35,189,63C,40
30,0.55,28,178,63C,50
31,0.37,22,147,63C,63
32,0.37,18,186,63C,80
33,0.25,14,161,63C,100
34,0.25,11,198,63C,125
35,0.18,9,177,63C,160
36,0.13,7,165,63C,200
37,0.13,6,205,63C,250
38,0.09,5,174,63C,315
39,1.8,137,120,71B,10
40,1.8,107,152,71B,12.5
41,1.8,90,182,71B,16
42,1.8,71,229,71B,20
43,1.5,56,243,71B,25
44,1.1,47,213,71B,31.5
45,0.9,36,226,71B,40
46,0.75,28,244,71B,50
47,0.55,23,214,71B,63
48,0.37,18,186,71B,80
49,4,307,118,90B,5
50,4,224,162,90B,6.3
51,4,137,266,90B,10
52,4,107,338,90B,12.5
53,4,90,405,90B,16
54,4,71,509,90B,20
55,3,56,486,90B,25
56,2.2,47,427,90B,31.5
57,1.8,36,452,90B,40
58,1.5,28,488,90B,50
59,1.1,23,429,90B,63
60,0.9,18,454,90B,80
61,1.8,27,596,80C,50
62,1.5,22,595,80C,63
63,1.1,18,555,80C,80
64,1.1,14,698,80C,100
65,0.9,12,684,80C,125
66,0.55,9,532,80C,160
67,0.55,8,637,80C,200
68,0.37,6,565,80C,250
69,0.37,5,719,80C,315
70,0.25,4,582,80C,400
71,0.18,3,542,80C,500
72,0.13,2,506,80C,630
73,9.2,288,290,112B,5
74,9.2,137,611,112B,10
75,9.2,107,778,112B,12.5
76,9.2,90,932,112B,16
77,9.2,71,1171,112B,20
78,7.5,56,1215,112B,25
79,5.5,47,1067,112B,31.5
80,4,36,1004,112B,40
81,3,28,976,112B,50
82,2.2,23,857,112B,63
83,1.8,18,907,112B,80
84,3,27,993,100C,50
85,3,22,1190,100C,63
86,2.2,18,1111,100C,80
87,2.2,14,1395,100C,100
88,1.8,12,1368,100C,125
89,1.1,9,1064,100C,160
90,1.1,8,1275,100C,200
91,0.75,6,1144,100C,250
92,0.75,5,1456,100C,315
93,0.55,4,1280,100C,400
94,0.37,3,1113,100C,500
95,0.25,2,973,100C,630
96,22,203,983,140B,7
97,22,137,1461,140B,10
98,22,107,1860,140B,12.5
99,18.5,90,1874,140B,16
100,18.5,71,2354,140B,20
101,15,56,2429,140B,25
102,11,47,2135,140B,31.5
103,7.5,36,1882,140B,40
104,5.5,28,1789,140B,50
105,5.5,23,2143,140B,63
106,4,18,2016,140B,80
107,7.5,27,2483,125C,50
108,5.5,22,2182,125C,63
109,5.5,18,2777,125C,80
110,4,14,2537,125C,100
111,3,12,2280,125C,125
112,2.2,9,2128,125C,160
113,2.2,8,2549,125C,200
114,1.8,6,2746,125C,250
115,1.5,5,2913,125C,315
116,1.1,4,2560,125C,400
117,0.75,3,2257,125C,500
118,0.55,2,2140,125C,630
119,30,137,1993,180B,10
120,30,107,2536,180B,12.5
121,30,90,3039,180B,16
122,30,71,3818,180B,20
123,30,56,4859,180B,25
124,22,47,4269,180B,31.5
125,15,36,3764,180B,40
126,11,28,3577,180B,50
127,11,23,4286,180B,63
128,7.5,18,3779,180B,80
129,15,27,4966,160C,50
130,11,22,4363,160C,63
131,9.2,18,4644,160C,80
132,7.5,14,4756,160C,100
133,7.5,12,5699,160C,125
134,5.5,9,5319,160C,160
135,4,8,4635,160C,200
136,3,6,4577,160C,250
137,3,5,5826,160C,315
138,2.2,4,5119,160C,400
139,1.5,3,5414,160C,500
140,1.1,2,4281,160C,630
141,30,172,1582,200B,8
142,30,134,2028,200B,10
143,30,111,2449,200B,12.5
144,30,90,3039,200B,16
145,30,79,3432,200B,20
146,30,58,4692,200B,25
147,30,47,5822,200B,31.5
148,30,41,6575,200B,40
149,22,29,6833,200B,50
150,18.5,26,6489,200B,63
151,18.5,26,6234,180C,50
152,15,22,6056,180C,63
153,15,18,7313,180C,80
154,11,14,6936,180C,100
155,9.2,11,7172,180C,125
156,7.5,10,7005,180C,160
157,5.5,7,6644,180C,200
158,4,6,6261,180C,250
159,4,5,7502,180C,315
160,3,4,7276,180C,400
161,45,166,2461,225B,8
162,45,138,2955,225B,10
163,45,112,3630,225B,12.5
164,45,88,4644,225B,16
165,45,73,5577,225B,20
166,45,60,6850,225B,25
167,45,46,8832,225B,31.5
168,37,38,8892,225B,40
169,30,33,8110,200C,40
170,30,27,9740,200C,50
171,22,22,8772,200C,63
172,22,18,10742,200C,80
173,15,14,9330,200C,100
174,15,12,11459,200C,125
175,11,9,10290,200C,160
176,7.5,7,9367,200C,200
177,7.5,6,11504,200C,250
178,5.5,5,10330,200C,315
