1,0.22,9,187,7.5,30
2,0.22,12,140,10,30
3,0.22,17,93,15,30
4,0.18,18,70,20,30
5,0.18,21,56,25,30
6,0.13,18,47,30,30
7,0.13,21,35,40,30
8,0.09,17,28,50,30
9,0.09,20,22,65,30
10,0.06,16,18,80,30
11,0.06,18,14,100,30
12,0.55,24,187,7.5,40
13,0.55,31,140,10,40
14,0.37,30,93,15,40
15,0.37,38,70,20,40
16,0.25,31,56,25,40
17,0.25,35,47,30,40
18,0.22,38,35,40,40
19,0.18,36,28,50,40
20,0.13,31,22,65,40
21,0.11,31,18,80,40
22,0.09,30,14,100,40
23,0.9,40,187,7.5,50
24,0.9,52,140,10,50
25,0.9,74,93,15,50
26,0.55,58,70,20,50
27,0.37,47,56,25,50
28,0.37,53,47,30,50
29,0.37,68,35,40,50
30,0.25,53,28,50,50
31,0.25,64,22,65,50
32,0.18,53,18,80,50
33,0.13,45,14,100,50
34,1.8,80,187,7.5,63
35,1.8,105,140,10,63
36,1.5,125,93,15,63
37,1.1,120,70,20,63
38,0.9,118,56,25,63
39,0.9,134,47,30,63
40,0.75,142,35,40,63
41,0.55,122,28,50,63
42,0.37,100,22,65,63
43,0.25,79,18,80,63
44,0.25,91,14,100,63
45,4,178,187,7.5,75
46,3,176,140,10,75
47,2.2,187,93,15,75
48,1.8,199,70,20,75
49,1.5,200,56,25,75
50,1.1,167,47,30,75
51,1.1,213,35,40,75
52,0.9,206,28,50,75
53,0.55,154,22,65,75
54,0.55,180,18,80,75
55,0.55,210,14,100,75
56,5.5,247,187,7.5,90
57,4,236,140,10,90
58,3,256,93,15,90
59,3,334,70,20,90
60,2.2,299,56,25,90
61,2.2,340,47,30,90
62,1.8,355,35,40,90
63,1.5,353,28,50,90
64,1.1,317,22,65,90
65,0.9,309,18,80,90
66,0.55,217,14,100,90
67,9.2,415,187,7.5,110
68,7.5,446,140,10,110
69,5.5,475,93,15,110
70,5.5,623,70,20,110
71,4,554,56,25,110
72,3,472,47,30,110
73,3,606,35,40,110
74,2.2,538,28,50,110
75,1.5,451,22,65,110
76,1.1,390,18,80,110
77,1.1,458,14,100,110
