1,0.55,186.7,24.5,40,7.5
2,0.55,186.7,25,50,7.5
3,0.55,140,32,40,10
4,0.55,140,32,50,10
5,0.55,93.3,46,50,15
6,0.55,93.3,46,63,15
7,0.55,70,59,50,20
8,0.55,70,60,63,20
9,0.55,56,72,63,25
10,0.55,46.7,80,63,30
11,0.55,35,104,63,40
12,0.55,35,108,75,40
13,0.55,28,123,63,50
14,0.55,28,129,75,50
15,0.55,23.3,146,75,60
16,0.55,17.5,180,75,80
17,0.55,14,180,75,100
18,0.75,186.7,34,50,7.5
19,0.75,186.7,33,63,7.5
20,0.75,140,44,50,10
21,0.75,140,44,63,10
22,0.75,93.3,63,50,15
23,0.75,93.3,63,63,15
24,0.75,70,82,63,20
25,0.75,56,99,63,25
26,0.75,46.7,109,63,30
27,0.75,46.7,116,75,30
28,0.75,35,143,63,40
29,0.75,35,147,75,40
30,0.75,28,176,75,50
31,0.75,28,184,90,50
32,0.75,23.3,200,75,60
33,0.75,23.3,212,90,60
34,0.75,17.5,257,90,80
35,0.75,14,270,90,100
36,1.1,186.7,49,63,7.5
37,1.1,186.7,49,75,7.5
38,1.1,140,65,63,10
39,1.1,140,66,75,10
40,1.1,93.3,93,63,15
41,1.1,93.3,95,75,15
42,1.1,70,121,63,20
43,1.1,70,122,75,20
44,1.1,56,149,75,25
45,1.1,46.7,170,75,30
46,1.1,35,216,75,40
47,1.1,35,225,90,40
48,1.1,28,271,90,50
49,1.1,23.3,311,90,60
50,1.1,23.3,324,110,60
51,1.1,17.5,410,110,80
52,1.1,14,460,110,100
53,1.5,186.7,67,75,7.5
54,1.5,140,90,75,10
55,1.5,93.3,130,75,15
56,1.5,70,167,75,20
57,1.5,56,200,75,25
58,1.5,56,209,90,25
59,1.5,46.7,230,75,30
60,1.5,46.7,236,90,30
61,1.5,35,306,90,40
62,1.5,28,369,90,50
63,1.5,28,375,110,50
64,1.5,23.3,442,110,60
65,1.5,17.5,490,110,80
66,1.5,17.5,547,130,80
67,1.5,14,652,130,100
68,2.2,186.7,101,90,7.5
69,2.2,186.7,101,110,7.5
70,2.2,140,133,90,10
71,2.2,140,133,110,15
72,2.2,93.3,193,90,15
73,2.2,93.3,193,110,15
74,2.2,70,251,90,20
75,2.2,70,256,110,20
76,2.2,56,307,90,25
77,2.2,56,316,110,25
78,2.2,46.7,346,90,30
79,2.2,46.7,355,110,30
80,2.2,35,462,110,40
81,2.2,28,550,110,50
82,2.2,28,566,130,50
83,2.2,28,570,150,50
84,2.2,23.3,650,130,60
85,2.2,23.3,657,150,60
86,2.2,17.5,803,130,80
87,2.2,17.5,816,150,80
88,2.2,14,960,150,100
89,3,186.7,138,110,7.5
90,3,140,182,110,10
91,3,93.3,263,110,15
92,3,70,348,110,20
93,3,56,430,110,25
94,3,46.7,484,110,30
95,3,35,631,110,40
96,3,35,638,130,40
97,3,28,767,130,50
98,3,28,778,150,50
99,3,23.3,884,130,60
100,3,23.3,896,150,60
101,3,17.5,1110,150,80
102,4,186.7,184,110,7.5
103,4,186.7,186,130,7.5
104,4,140,243,110,10
105,4,140,243,130,10
106,4,93.3,352,110,15
107,4,93.3,357,130,15
108,4,70,464,110,20
109,4,70,466,130,20
110,4,56,573,110,25
111,4,56,573,130,25
112,4,46.7,646,110,30
113,4,46.7,655,130,30
114,4,35,850,130,40
115,4,28,1023,130,50
116,4,28,1037,150,50
117,4,23.3,1195,150,60
118,5.5,186.7,253,110,7.5
119,5.5,186.7,256,130,7.5
120,5.5,140,334,110,10
121,5.5,140,334,130,10
122,5.5,93.3,484,110,15
123,5.5,93.3,490,130,15
124,5.5,70,645,130,20
125,5.5,70,645,150,20
126,5.5,56,788,130,25
127,5.5,56,788,150,25
128,5.5,46.7,900,130,30
129,5.5,46.7,934,150,30
130,5.5,35,1171,150,40
131,7.5,186.7,345,110,7.5
132,7.5,186.7,349,130,7.5
133,7.5,140,455,110,10
134,7.5,140,455,130,10
135,7.5,93.3,667,130,15
136,7.5,70,880,150,20
137,7.5,56,1074,150,25
138,11,186.7,512,150,7.5
139,11,140,675,150,10
140,11,93.3,990,150,15
141,15,186.7,698,150,7.5
142,15,140,921,150,10
